Ticker,Date,SEC_Event
AAPL,2026-02-24,1
AAPL,2026-01-30,1
AAPL,2026-01-29,1
AAPL,2026-01-02,1
AAPL,2025-12-05,1
AAPL,2025-10-31,1
AAPL,2025-10-30,1
AAPL,2025-08-01,1
AAPL,2025-07-31,1
AAPL,2025-07-25,1
AAPL,2025-07-09,1
AAPL,2025-05-12,1
AAPL,2025-05-02,1
AAPL,2025-05-01,1
AAPL,2025-02-25,1
AAPL,2025-01-31,1
AAPL,2025-01-30,1
AAPL,2025-01-03,1
AAPL,2024-11-01,1
AAPL,2024-10-31,1
AAPL,2024-09-10,1
AAPL,2024-08-26,1
AAPL,2024-08-23,1
AAPL,2024-08-02,1
AAPL,2024-08-01,1
AAPL,2024-05-03,1
AAPL,2024-05-03,1
AAPL,2024-05-02,1
AAPL,2024-02-28,1
AAPL,2024-02-02,1
AAPL,2024-02-01,1
AAPL,2023-11-03,1
AAPL,2023-11-02,1
AAPL,2023-08-04,1
AAPL,2023-08-03,1
AAPL,2023-05-10,1
AAPL,2023-05-05,1
AAPL,2023-05-04,1
AAPL,2023-03-10,1
AAPL,2023-02-03,1
AAPL,2023-02-02,1
AAPL,2022-11-07,1
AAPL,2022-10-28,1
AAPL,2022-10-27,1
AAPL,2022-08-19,1
AAPL,2022-08-08,1
AAPL,2022-07-29,1
AAPL,2022-07-28,1
AAPL,2022-04-29,1
AAPL,2022-04-28,1
AAPL,2022-03-04,1
AAPL,2022-01-28,1
AAPL,2022-01-27,1
AAPL,2021-11-12,1
AAPL,2021-10-29,1
AAPL,2021-10-28,1
AAPL,2021-08-05,1
AAPL,2021-07-28,1
AAPL,2021-07-27,1
AAPL,2021-04-29,1
AAPL,2021-04-28,1
AAPL,2021-02-24,1
AAPL,2021-02-08,1
AAPL,2021-01-28,1
AAPL,2021-01-27,1
AAPL,2021-01-05,1
AAPL,2020-10-30,1
AAPL,2020-10-29,1
AAPL,2020-08-20,1
AAPL,2020-08-07,1
AAPL,2020-07-31,1
AAPL,2020-07-30,1
AAPL,2020-05-11,1
AAPL,2020-05-01,1
AAPL,2020-04-30,1
AAPL,2020-02-27,1
AAPL,2020-02-18,1
AAPL,2020-01-29,1
AAPL,2020-01-28,1
AAPL,2019-11-15,1
AAPL,2019-10-31,1
AAPL,2019-10-30,1
AAPL,2019-09-13,1
AAPL,2019-09-11,1
AAPL,2019-07-31,1
AAPL,2019-07-30,1
AAPL,2019-05-01,1
AAPL,2019-04-30,1
AAPL,2019-03-04,1
AAPL,2019-02-06,1
AAPL,2019-01-30,1
AAPL,2019-01-29,1
AAPL,2019-01-02,1
AAPL,2018-11-05,1
AAPL,2018-11-01,1
AAPL,2018-08-01,1
AAPL,2018-07-31,1
AAPL,2018-05-07,1
AAPL,2018-05-02,1
AAPL,2018-05-01,1
AAPL,2018-02-14,1
AAPL,2018-02-02,1
AAPL,2018-02-01,1
AAPL,2017-11-13,1
AAPL,2017-11-03,1
AAPL,2017-11-02,1
AAPL,2017-10-12,1
AAPL,2017-09-12,1
AAPL,2017-08-18,1
AAPL,2017-08-02,1
AAPL,2017-08-01,1
AAPL,2017-06-20,1
AAPL,2017-05-24,1
AAPL,2017-05-11,1
AAPL,2017-05-03,1
AAPL,2017-05-02,1
AAPL,2017-03-03,1
AAPL,2017-03-01,1
AAPL,2017-02-09,1
AAPL,2017-02-01,1
AAPL,2017-01-31,1
AAPL,2016-12-15,1
AAPL,2016-10-26,1
AAPL,2016-10-25,1
AAPL,2016-08-04,1
AAPL,2016-07-27,1
AAPL,2016-07-26,1
AAPL,2016-06-22,1
AAPL,2016-04-27,1
AAPL,2016-04-26,1
AAPL,2016-03-24,1
AAPL,2016-03-01,1
AAPL,2016-02-23,1
AAPL,2016-01-27,1
AAPL,2016-01-26,1
AAPL,2015-12-22,1
AAPL,2015-12-17,1
AAPL,2015-10-28,1
AAPL,2015-10-27,1
AAPL,2015-10-02,1
AAPL,2015-09-17,1
AAPL,2015-07-31,1
AAPL,2015-07-22,1
AAPL,2015-07-21,1
AAPL,2015-06-10,1
AAPL,2015-05-13,1
AAPL,2015-04-28,1
AAPL,2015-04-27,1
AAPL,2015-04-27,1
AAPL,2015-03-13,1
MSFT,2026-01-28,1
MSFT,2026-01-28,1
MSFT,2025-12-08,1
MSFT,2025-10-29,1
MSFT,2025-10-29,1
MSFT,2025-09-30,1
MSFT,2025-07-30,1
MSFT,2025-07-30,1
MSFT,2025-07-01,1
MSFT,2025-04-30,1
MSFT,2025-04-30,1
MSFT,2025-01-29,1
MSFT,2025-01-29,1
MSFT,2025-01-22,1
MSFT,2024-12-11,1
MSFT,2024-12-03,1
MSFT,2024-10-30,1
MSFT,2024-10-30,1
MSFT,2024-08-21,1
MSFT,2024-07-30,1
MSFT,2024-07-30,1
MSFT,2024-04-25,1
MSFT,2024-04-25,1
MSFT,2024-01-30,1
MSFT,2024-01-30,1
MSFT,2024-01-19,1
MSFT,2023-12-08,1
MSFT,2023-11-06,1
MSFT,2023-10-30,1
MSFT,2023-10-24,1
MSFT,2023-10-24,1
MSFT,2023-10-16,1
MSFT,2023-10-13,1
MSFT,2023-10-11,1
MSFT,2023-07-27,1
MSFT,2023-07-25,1
MSFT,2023-07-03,1
MSFT,2023-04-25,1
MSFT,2023-04-25,1
MSFT,2023-01-24,1
MSFT,2023-01-24,1
MSFT,2023-01-18,1
MSFT,2022-12-16,1
MSFT,2022-10-25,1
MSFT,2022-10-25,1
MSFT,2022-07-28,1
MSFT,2022-07-26,1
MSFT,2022-06-02,1
MSFT,2022-04-26,1
MSFT,2022-04-26,1
MSFT,2022-01-25,1
MSFT,2022-01-25,1
MSFT,2022-01-18,1
MSFT,2021-11-30,1
MSFT,2021-10-26,1
MSFT,2021-10-26,1
MSFT,2021-07-29,1
MSFT,2021-07-27,1
MSFT,2021-07-08,1
MSFT,2021-06-17,1
MSFT,2021-05-20,1
MSFT,2021-04-27,1
MSFT,2021-04-27,1
MSFT,2021-04-12,1
MSFT,2021-03-17,1
MSFT,2021-03-02,1
MSFT,2021-02-16,1
MSFT,2021-01-26,1
MSFT,2021-01-26,1
MSFT,2020-12-04,1
MSFT,2020-10-27,1
MSFT,2020-10-27,1
MSFT,2020-09-21,1
MSFT,2020-08-03,1
MSFT,2020-07-30,1
MSFT,2020-07-22,1
MSFT,2020-07-07,1
MSFT,2020-07-01,1
MSFT,2020-06-26,1
MSFT,2020-06-01,1
MSFT,2020-05-14,1
MSFT,2020-04-30,1
MSFT,2020-04-29,1
MSFT,2020-04-29,1
MSFT,2020-03-31,1
MSFT,2020-03-13,1
MSFT,2020-02-26,1
MSFT,2020-01-29,1
MSFT,2020-01-29,1
MSFT,2019-12-05,1
MSFT,2019-10-23,1
MSFT,2019-10-23,1
GOOGL,2026-02-13,1
GOOGL,2026-02-05,1
GOOGL,2026-02-04,1
GOOGL,2025-11-06,1
GOOGL,2025-10-30,1
GOOGL,2025-10-29,1
GOOGL,2025-09-05,1
GOOGL,2025-09-03,1
GOOGL,2025-07-24,1
GOOGL,2025-07-23,1
GOOGL,2025-07-18,1
GOOGL,2025-06-12,1
GOOGL,2025-05-06,1
GOOGL,2025-05-01,1
GOOGL,2025-04-25,1
GOOGL,2025-04-24,1
GOOGL,2025-04-18,1
GOOGL,2025-03-18,1
GOOGL,2025-02-05,1
GOOGL,2025-02-04,1
GOOGL,2024-10-30,1
GOOGL,2024-10-29,1
GOOGL,2024-10-17,1
